Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CarInsurance,CallDuration,age_group,LastContactDayGroup,LastContactMonth_Number,NoOfContactsGroup,CallDurationGroup
38,33,admin.,married,secondary,0,0,1,0,cellular,30,jul,5,-1,0,0,41,31-40 Years,End of Month,7,1 - 10 times,Below Average CallDuration
39,41,blue-collar,divorced,primary,0,138,1,0,cellular,18,jul,3,-1,0,1,640,41-50 Years,Middle of Month,7,1 - 10 times,Above Average CallDuration
40,35,admin.,married,secondary,0,216,1,1,cellular,17,nov,3,-1,0,0,70,31-40 Years,Middle of Month,11,1 - 10 times,Below Average CallDuration
41,32,management,married,secondary,0,3935,1,0,cellular,29,may,2,-1,0,0,129,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
42,40,blue-collar,married,secondary,0,327,1,0,cellular,29,may,1,-1,0,0,134,31-40 Years,End of Month,5,One times,Below Average CallDuration
43,35,management,single,tertiary,0,2707,0,0,cellular,5,feb,1,-1,0,1,699,31-40 Years,Beginning of Month,2,One times,Above Average CallDuration
44,40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,1,432,31-40 Years,Middle of Month,5,One times,Above Average CallDuration
45,60,management,married,tertiary,0,70,0,0,cellular,21,aug,1,-1,0,0,36,51-60 Years,Middle of Month,8,One times,Below Average CallDuration
46,35,blue-collar,single,secondary,0,0,1,0,cellular,3,jun,3,-1,0,0,113,31-40 Years,Beginning of Month,6,1 - 10 times,Below Average CallDuration
47,42,management,divorced,secondary,0,283,1,0,cellular,23,jul,1,-1,0,1,761,41-50 Years,End of Month,7,One times,Above Average CallDuration
48,79,retired,divorced,primary,0,79,0,0,cellular,9,oct,2,-1,0,1,1106,>61 Years,Beginning of Month,10,1 - 10 times,Above Average CallDuration
49,46,admin.,single,secondary,0,13,0,0,cellular,2,jun,4,-1,0,0,71,41-50 Years,Beginning of Month,6,1 - 10 times,Below Average CallDuration
50,33,technician,divorced,secondary,0,464,0,0,cellular,4,feb,4,-1,0,0,207,31-40 Years,Beginning of Month,2,1 - 10 times,Below Average CallDuration
51,54,services,divorced,secondary,0,0,1,0,cellular,16,apr,1,-1,0,0,263,51-60 Years,Middle of Month,4,One times,Below Average CallDuration
52,46,housemaid,married,primary,0,17,0,0,cellular,17,jun,1,-1,0,0,72,41-50 Years,Middle of Month,6,One times,Below Average CallDuration
53,47,self-employed,married,secondary,0,4420,1,1,cellular,20,nov,1,-1,0,1,454,41-50 Years,Middle of Month,11,One times,Above Average CallDuration
54,78,retired,married,secondary,0,3208,0,0,telephone,20,may,3,-1,0,1,351,>61 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
55,31,blue-collar,married,secondary,0,326,0,1,cellular,29,jan,1,-1,0,0,124,31-40 Years,End of Month,1,One times,Below Average CallDuration
56,39,services,married,secondary,0,52,0,0,telephone,2,feb,3,-1,0,1,1420,31-40 Years,Beginning of Month,2,1 - 10 times,Above Average CallDuration
57,31,admin.,married,secondary,0,457,1,0,cellular,21,nov,1,171,5,0,283,31-40 Years,Middle of Month,11,One times,Below Average CallDuration
58,46,entrepreneur,divorced,secondary,0,1187,0,1,cellular,13,oct,1,327,1,0,92,41-50 Years,Middle of Month,10,One times,Below Average CallDuration
59,34,management,single,secondary,0,6013,1,0,cellular,18,may,1,-1,0,1,612,31-40 Years,Middle of Month,5,One times,Above Average CallDuration
60,52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,0,309,51-60 Years,End of Month,5,One times,Below Average CallDuration
61,36,management,divorced,tertiary,0,0,0,0,cellular,28,aug,4,-1,0,0,81,31-40 Years,End of Month,8,1 - 10 times,Below Average CallDuration
62,39,entrepreneur,married,secondary,0,11887,0,0,cellular,18,nov,2,-1,0,1,1181,31-40 Years,Middle of Month,11,1 - 10 times,Above Average CallDuration
63,18,student,single,primary,0,608,0,0,cellular,12,aug,1,-1,0,1,267,<=20 Years,Middle of Month,8,One times,Below Average CallDuration
64,60,services,married,secondary,0,-46,0,0,cellular,23,may,2,-1,0,0,132,51-60 Years,End of Month,5,1 - 10 times,Below Average CallDuration
65,36,services,single,secondary,0,0,1,0,cellular,15,may,4,-1,0,1,1002,31-40 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
66,57,management,married,tertiary,0,473,0,0,cellular,1,jun,1,-1,0,1,295,51-60 Years,Beginning of Month,6,One times,Below Average CallDuration
67,28,blue-collar,single,secondary,0,1955,0,0,cellular,29,jan,1,-1,0,0,25,21-30 Years,End of Month,1,One times,Below Average CallDuration
68,30,management,married,tertiary,0,860,1,0,cellular,20,apr,1,-1,0,0,185,21-30 Years,Middle of Month,4,One times,Below Average CallDuration
69,41,blue-collar,married,secondary,0,2689,1,0,cellular,15,apr,1,-1,0,1,135,41-50 Years,Middle of Month,4,One times,Below Average CallDuration
70,58,management,married,tertiary,0,3768,1,0,cellular,18,jun,1,-1,0,0,316,51-60 Years,Middle of Month,6,One times,Below Average CallDuration
71,23,housemaid,married,tertiary,0,66,1,0,cellular,7,may,2,-1,0,1,1391,21-30 Years,Beginning of Month,5,1 - 10 times,Above Average CallDuration
72,29,admin.,married,secondary,0,494,1,0,cellular,26,may,2,-1,0,0,341,21-30 Years,End of Month,5,1 - 10 times,Below Average CallDuration
73,25,technician,single,secondary,0,1298,0,0,cellular,2,sep,7,94,2,0,206,21-30 Years,Beginning of Month,9,1 - 10 times,Below Average CallDuration
74,39,blue-collar,married,secondary,0,0,1,0,cellular,29,may,3,-1,0,0,209,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
75,45,technician,divorced,tertiary,0,0,0,0,cellular,27,aug,4,-1,0,0,58,41-50 Years,End of Month,8,1 - 10 times,Below Average CallDuration
76,55,technician,divorced,secondary,0,3450,0,0,cellular,10,feb,1,183,1,1,169,51-60 Years,Beginning of Month,2,One times,Below Average CallDuration
77,32,technician,married,tertiary,0,903,1,0,cellular,23,jun,1,320,1,0,181,31-40 Years,End of Month,6,One times,Below Average CallDuration
78,36,management,married,tertiary,0,722,1,0,cellular,30,may,1,-1,0,0,312,31-40 Years,End of Month,5,One times,Below Average CallDuration
79,34,management,single,tertiary,0,11350,1,0,cellular,15,may,1,176,1,0,153,31-40 Years,Middle of Month,5,One times,Below Average CallDuration
80,39,technician,single,secondary,0,556,1,0,cellular,29,may,1,-1,0,0,322,31-40 Years,End of Month,5,One times,Below Average CallDuration
81,49,admin.,single,secondary,0,716,1,0,cellular,15,may,3,-1,0,1,1257,41-50 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
82,37,technician,married,tertiary,0,143,0,0,cellular,27,aug,6,-1,0,0,57,31-40 Years,End of Month,8,1 - 10 times,Below Average CallDuration
83,47,blue-collar,married,secondary,0,802,1,1,cellular,12,may,2,-1,0,1,289,41-50 Years,Middle of Month,5,1 - 10 times,Below Average CallDuration
84,49,retired,single,primary,0,25824,0,0,cellular,17,jun,1,-1,0,0,94,41-50 Years,Middle of Month,6,One times,Below Average CallDuration
85,49,unemployed,married,primary,0,518,0,0,cellular,29,jan,2,-1,0,1,1917,41-50 Years,End of Month,1,1 - 10 times,Above Average CallDuration
86,34,admin.,divorced,secondary,0,0,0,0,cellular,10,jul,1,-1,0,0,268,31-40 Years,Beginning of Month,7,One times,Below Average CallDuration
87,40,blue-collar,married,secondary,1,-94,1,1,cellular,7,may,1,-1,0,0,227,31-40 Years,Beginning of Month,5,One times,Below Average CallDuration
88,33,services,married,secondary,0,210,1,0,cellular,13,may,2,-1,0,1,1207,31-40 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
89,40,admin.,single,secondary,0,60,1,0,cellular,15,may,3,352,6,0,460,31-40 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
90,41,entrepreneur,single,secondary,0,663,0,0,cellular,24,jul,1,-1,0,1,1204,41-50 Years,End of Month,7,One times,Above Average CallDuration
91,56,management,married,tertiary,0,830,1,1,cellular,6,may,1,-1,0,1,1201,51-60 Years,Beginning of Month,5,One times,Above Average CallDuration
92,33,blue-collar,single,secondary,0,-147,1,0,cellular,30,may,2,-1,0,0,652,31-40 Years,End of Month,5,1 - 10 times,Above Average CallDuration
93,43,blue-collar,divorced,primary,0,6,1,0,cellular,27,may,4,-1,0,0,112,41-50 Years,End of Month,5,1 - 10 times,Below Average CallDuration
94,46,services,divorced,secondary,0,1263,1,0,telephone,21,nov,2,-1,0,0,220,41-50 Years,Middle of Month,11,1 - 10 times,Below Average CallDuration
95,39,blue-collar,married,secondary,0,293,1,0,cellular,23,may,3,-1,0,0,160,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
96,44,management,married,tertiary,0,446,0,0,cellular,25,jul,12,-1,0,0,63,41-50 Years,End of Month,7,10 - 20 times,Below Average CallDuration
97,48,management,divorced,tertiary,0,657,0,1,cellular,29,jan,2,-1,0,0,251,41-50 Years,End of Month,1,1 - 10 times,Below Average CallDuration
98,39,blue-collar,single,tertiary,0,48,0,0,cellular,3,jun,1,-1,0,1,539,31-40 Years,Beginning of Month,6,One times,Above Average CallDuration
99,46,blue-collar,married,primary,0,3969,0,0,telephone,7,jul,5,-1,0,0,46,41-50 Years,Beginning of Month,7,1 - 10 times,Below Average CallDuration
100,19,student,single,primary,0,103,0,0,cellular,18,jan,2,95,4,0,177,<=20 Years,Middle of Month,1,1 - 10 times,Below Average CallDuration
101,36,management,married,tertiary,0,753,0,0,cellular,16,apr,4,-1,0,0,76,31-40 Years,Middle of Month,4,1 - 10 times,Below Average CallDuration
102,43,technician,married,secondary,0,3285,1,0,cellular,13,may,2,-1,0,1,1721,41-50 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
103,46,technician,married,secondary,0,9299,0,0,cellular,19,jul,1,276,2,1,1148,41-50 Years,Middle of Month,7,One times,Above Average CallDuration
104,56,retired,married,primary,0,9367,0,0,cellular,4,may,2,-1,0,1,617,51-60 Years,Beginning of Month,5,1 - 10 times,Above Average CallDuration
105,57,management,married,secondary,0,7162,0,0,cellular,17,nov,1,-1,0,0,83,51-60 Years,Middle of Month,11,One times,Below Average CallDuration
106,33,technician,married,tertiary,0,1699,0,0,cellular,4,aug,1,-1,0,1,600,31-40 Years,Beginning of Month,8,One times,Above Average CallDuration
107,41,admin.,married,secondary,0,437,1,0,cellular,2,feb,1,-1,0,0,138,41-50 Years,Beginning of Month,2,One times,Below Average CallDuration
108,31,management,married,tertiary,0,69,0,0,cellular,20,aug,2,-1,0,0,195,31-40 Years,Middle of Month,8,1 - 10 times,Below Average CallDuration
109,52,management,married,tertiary,0,388,0,0,cellular,25,may,1,-1,0,1,272,51-60 Years,End of Month,5,One times,Below Average CallDuration
110,48,blue-collar,single,secondary,0,339,0,1,telephone,14,jul,4,-1,0,0,123,41-50 Years,Middle of Month,7,1 - 10 times,Below Average CallDuration
111,55,blue-collar,married,secondary,0,49,1,0,cellular,7,jul,4,-1,0,1,494,51-60 Years,Beginning of Month,7,1 - 10 times,Above Average CallDuration
112,50,technician,married,secondary,0,3370,0,0,cellular,2,jun,2,-1,0,1,160,41-50 Years,Beginning of Month,6,1 - 10 times,Below Average CallDuration
113,33,blue-collar,single,secondary,0,-366,1,0,cellular,28,may,4,-1,0,0,81,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
114,31,management,married,tertiary,0,2667,1,0,cellular,2,mar,2,-1,0,0,73,31-40 Years,Beginning of Month,3,1 - 10 times,Below Average CallDuration
115,33,admin.,married,tertiary,0,899,1,0,cellular,26,may,3,-1,0,0,159,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
116,31,management,married,tertiary,0,1331,0,0,cellular,30,apr,1,86,3,1,297,31-40 Years,End of Month,4,One times,Below Average CallDuration
117,37,services,married,secondary,0,4151,1,1,cellular,30,jul,4,-1,0,1,543,31-40 Years,End of Month,7,1 - 10 times,Above Average CallDuration
118,62,retired,married,secondary,0,569,0,0,cellular,4,feb,5,184,1,1,94,>61 Years,Beginning of Month,2,1 - 10 times,Below Average CallDuration
119,33,management,married,tertiary,0,1514,0,0,cellular,10,aug,1,728,2,1,447,31-40 Years,Beginning of Month,8,One times,Above Average CallDuration
120,40,management,married,tertiary,1,0,0,0,cellular,28,jul,5,-1,0,0,165,31-40 Years,End of Month,7,1 - 10 times,Below Average CallDuration
121,37,technician,single,tertiary,0,6101,0,0,cellular,6,feb,1,-1,0,1,141,31-40 Years,Beginning of Month,2,One times,Below Average CallDuration
122,46,management,divorced,tertiary,0,461,0,0,cellular,30,dec,2,-1,0,1,369,41-50 Years,End of Month,12,1 - 10 times,Above Average CallDuration
123,64,entrepreneur,married,tertiary,0,2331,0,0,telephone,9,nov,1,-1,0,1,201,>61 Years,Beginning of Month,11,One times,Below Average CallDuration
124,43,unemployed,married,primary,0,519,0,0,cellular,20,jun,2,-1,0,1,973,41-50 Years,Middle of Month,6,1 - 10 times,Above Average CallDuration
125,57,blue-collar,married,primary,0,3109,0,0,cellular,15,sep,2,105,2,1,107,51-60 Years,Middle of Month,9,1 - 10 times,Below Average CallDuration
126,58,retired,divorced,primary,0,11,0,1,cellular,10,jul,5,-1,0,0,161,51-60 Years,Beginning of Month,7,1 - 10 times,Below Average CallDuration
127,32,technician,divorced,tertiary,0,53,0,0,cellular,22,aug,2,-1,0,1,671,31-40 Years,End of Month,8,1 - 10 times,Above Average CallDuration
128,43,blue-collar,married,secondary,0,699,1,1,cellular,20,nov,2,122,2,1,1258,41-50 Years,Middle of Month,11,1 - 10 times,Above Average CallDuration
129,30,student,single,tertiary,0,3300,0,0,cellular,21,nov,1,-1,0,1,1571,21-30 Years,Middle of Month,11,One times,Above Average CallDuration
130,45,admin.,married,secondary,0,251,1,0,cellular,19,aug,2,-1,0,0,102,41-50 Years,Middle of Month,8,1 - 10 times,Below Average CallDuration
131,56,management,married,tertiary,0,318,0,1,telephone,9,jul,3,-1,0,0,246,51-60 Years,Beginning of Month,7,1 - 10 times,Below Average CallDuration
132,44,management,married,secondary,0,2724,0,0,cellular,28,dec,1,-1,0,1,893,41-50 Years,End of Month,12,One times,Above Average CallDuration
133,61,management,married,tertiary,0,5157,0,0,cellular,13,mar,1,-1,0,0,432,>61 Years,Middle of Month,3,One times,Above Average CallDuration
134,37,technician,divorced,tertiary,0,1762,1,0,cellular,16,apr,1,317,1,0,309,31-40 Years,Middle of Month,4,One times,Below Average CallDuration
135,56,retired,married,secondary,0,343,0,1,cellular,9,jul,1,-1,0,0,77,51-60 Years,Beginning of Month,7,One times,Below Average CallDuration
136,46,admin.,married,secondary,0,368,0,0,cellular,20,aug,1,90,4,1,293,41-50 Years,Middle of Month,8,One times,Below Average CallDuration
137,39,management,divorced,tertiary,0,1968,0,0,cellular,21,nov,1,-1,0,1,648,31-40 Years,Middle of Month,11,One times,Above Average CallDuration
138,27,services,single,secondary,0,302,0,0,cellular,3,jul,1,-1,0,1,203,21-30 Years,Beginning of Month,7,One times,Below Average CallDuration
139,33,blue-collar,single,primary,0,60,1,0,cellular,14,may,1,290,2,0,74,31-40 Years,Middle of Month,5,One times,Below Average CallDuration
140,52,technician,married,tertiary,0,0,0,0,cellular,9,aug,3,94,4,0,145,51-60 Years,Beginning of Month,8,1 - 10 times,Below Average CallDuration
141,45,blue-collar,married,secondary,0,3092,1,1,cellular,12,may,2,-1,0,0,180,41-50 Years,Middle of Month,5,1 - 10 times,Below Average CallDuration
142,30,unemployed,single,secondary,0,1058,0,0,cellular,4,feb,1,-1,0,0,515,21-30 Years,Beginning of Month,2,One times,Above Average CallDuration
143,46,services,married,secondary,0,53,0,1,cellular,28,jul,3,-1,0,0,31,41-50 Years,End of Month,7,1 - 10 times,Below Average CallDuration
144,32,services,single,secondary,0,-402,1,0,cellular,17,apr,1,-1,0,0,135,31-40 Years,Middle of Month,4,One times,Below Average CallDuration
145,62,entrepreneur,married,secondary,0,3904,0,0,telephone,29,jan,2,-1,0,1,403,>61 Years,End of Month,1,1 - 10 times,Above Average CallDuration
146,24,student,single,secondary,0,1123,0,0,cellular,13,jul,1,412,1,1,475,21-30 Years,Middle of Month,7,One times,Above Average CallDuration
147,47,management,single,tertiary,0,159,0,0,telephone,29,oct,3,155,3,1,220,41-50 Years,End of Month,10,1 - 10 times,Below Average CallDuration
148,32,blue-collar,single,secondary,0,5,1,1,cellular,8,may,1,-1,0,0,134,31-40 Years,Beginning of Month,5,One times,Below Average CallDuration
149,38,blue-collar,married,primary,0,3289,0,0,cellular,9,jun,2,-1,0,0,553,31-40 Years,Beginning of Month,6,1 - 10 times,Above Average CallDuration
150,36,technician,single,tertiary,0,391,1,0,cellular,15,may,1,350,8,0,185,31-40 Years,Middle of Month,5,One times,Below Average CallDuration
151,57,management,divorced,secondary,0,854,0,0,cellular,27,aug,4,92,1,1,700,51-60 Years,End of Month,8,1 - 10 times,Above Average CallDuration
152,73,retired,divorced,secondary,0,7111,1,0,cellular,12,oct,1,-1,0,1,146,>61 Years,Middle of Month,10,One times,Below Average CallDuration
153,55,technician,divorced,tertiary,0,0,1,0,cellular,30,may,1,-1,0,0,234,51-60 Years,End of Month,5,One times,Below Average CallDuration
154,57,blue-collar,married,primary,0,3109,0,0,cellular,2,jun,2,-1,0,1,482,51-60 Years,Beginning of Month,6,1 - 10 times,Above Average CallDuration
155,25,unemployed,single,primary,0,129,0,0,cellular,12,apr,3,-1,0,1,176,21-30 Years,Middle of Month,4,1 - 10 times,Below Average CallDuration
156,62,retired,married,secondary,0,569,0,0,cellular,4,aug,1,1,8,1,288,>61 Years,Beginning of Month,8,One times,Below Average CallDuration
157,45,technician,married,secondary,0,4466,1,0,cellular,3,jun,1,-1,0,0,110,41-50 Years,Beginning of Month,6,One times,Below Average CallDuration
158,56,blue-collar,married,secondary,0,1521,1,1,cellular,21,nov,2,179,3,0,19,51-60 Years,Middle of Month,11,1 - 10 times,Below Average CallDuration
159,33,management,single,tertiary,0,8038,1,0,cellular,19,nov,1,-1,0,0,60,31-40 Years,Middle of Month,11,One times,Below Average CallDuration
160,45,blue-collar,single,primary,0,116,0,0,cellular,13,apr,1,-1,0,1,122,41-50 Years,Middle of Month,4,One times,Below Average CallDuration
161,63,blue-collar,married,secondary,0,641,0,0,cellular,27,may,2,-1,0,1,417,>61 Years,End of Month,5,1 - 10 times,Above Average CallDuration
162,57,retired,married,secondary,0,2020,0,0,cellular,19,jun,4,-1,0,0,93,51-60 Years,Middle of Month,6,1 - 10 times,Below Average CallDuration
163,60,retired,married,secondary,0,208,0,0,cellular,20,aug,4,-1,0,0,70,51-60 Years,Middle of Month,8,1 - 10 times,Below Average CallDuration
164,61,self-employed,divorced,tertiary,0,52587,0,0,cellular,15,feb,3,189,1,1,394,>61 Years,Middle of Month,2,1 - 10 times,Above Average CallDuration
165,56,blue-collar,married,secondary,0,2561,0,0,cellular,20,jun,6,-1,0,0,13,51-60 Years,Middle of Month,6,1 - 10 times,Below Average CallDuration
166,26,blue-collar,single,secondary,0,82,1,0,cellular,9,may,1,-1,0,1,654,21-30 Years,Beginning of Month,5,One times,Above Average CallDuration
167,58,unemployed,divorced,secondary,0,729,0,1,cellular,9,feb,2,-1,0,0,60,51-60 Years,Beginning of Month,2,1 - 10 times,Below Average CallDuration
168,46,services,married,secondary,0,273,0,0,cellular,22,aug,2,-1,0,1,565,41-50 Years,End of Month,8,1 - 10 times,Above Average CallDuration
169,28,management,single,secondary,0,2840,0,0,cellular,20,apr,5,-1,0,1,227,21-30 Years,Middle of Month,4,1 - 10 times,Below Average CallDuration
170,57,technician,married,secondary,0,253,0,1,cellular,3,jul,3,-1,0,0,230,51-60 Years,Beginning of Month,7,1 - 10 times,Below Average CallDuration
171,36,technician,single,secondary,0,2921,0,0,telephone,31,jul,7,-1,0,0,55,31-40 Years,End of Month,7,1 - 10 times,Below Average CallDuration
172,44,blue-collar,married,secondary,0,16178,1,0,cellular,21,nov,1,-1,0,0,297,41-50 Years,Middle of Month,11,One times,Below Average CallDuration
173,54,services,divorced,secondary,0,0,0,0,cellular,18,mar,1,290,3,1,362,51-60 Years,Middle of Month,3,One times,Above Average CallDuration
174,38,technician,married,secondary,0,557,1,0,cellular,16,nov,4,-1,0,1,1556,31-40 Years,Middle of Month,11,1 - 10 times,Above Average CallDuration
175,34,management,single,tertiary,0,4348,1,0,cellular,28,aug,8,-1,0,0,373,31-40 Years,End of Month,8,1 - 10 times,Above Average CallDuration
176,27,services,single,secondary,0,683,1,0,cellular,9,may,3,-1,0,0,44,21-30 Years,Beginning of Month,5,1 - 10 times,Below Average CallDuration
177,29,self-employed,single,tertiary,0,1579,0,0,cellular,13,oct,1,92,5,1,190,21-30 Years,Middle of Month,10,One times,Below Average CallDuration
178,31,blue-collar,married,tertiary,0,2827,1,0,cellular,8,may,3,-1,0,0,238,31-40 Years,Beginning of Month,5,1 - 10 times,Below Average CallDuration
179,50,technician,divorced,secondary,0,0,0,0,cellular,29,sep,1,120,2,1,159,41-50 Years,End of Month,9,One times,Below Average CallDuration
180,60,retired,married,tertiary,0,108,0,0,cellular,26,aug,1,-1,0,1,624,51-60 Years,End of Month,8,One times,Above Average CallDuration
181,32,services,married,secondary,0,243,1,1,cellular,6,may,1,-1,0,0,144,31-40 Years,Beginning of Month,5,One times,Below Average CallDuration
182,36,services,married,secondary,0,-27,1,1,cellular,7,jul,4,-1,0,0,151,31-40 Years,Beginning of Month,7,1 - 10 times,Below Average CallDuration
183,45,admin.,married,secondary,0,205,0,0,cellular,4,may,1,90,2,1,552,41-50 Years,Beginning of Month,5,One times,Above Average CallDuration
184,40,technician,divorced,tertiary,0,0,0,0,cellular,17,jun,1,-1,0,1,522,31-40 Years,Middle of Month,6,One times,Above Average CallDuration
185,38,technician,married,secondary,0,497,0,0,cellular,14,apr,1,-1,0,1,173,31-40 Years,Middle of Month,4,One times,Below Average CallDuration
186,30,management,single,tertiary,0,985,1,0,cellular,25,oct,1,94,2,1,304,21-30 Years,End of Month,10,One times,Below Average CallDuration
